"","Size","Phylum","Class","Order","Family","Genus"
"Otu13690","2","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu13703","2","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu13707","2","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Odoribacter"
"Otu13711","2","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"Otu13737","2","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13744","2","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13755","2","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13776","2","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13784","2","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13793","2","Actinobacteria","Actinobacteria","Solirubrobacterales","Solirubrobacterales_unclassified","Solirubrobacterales_unclassified"
"Otu13800","2","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13817","2","Acidobacteria","Acidobacteria_Gp10","Acidobacteria_Gp10_order_incertae_sedis","Acidobacteria_Gp10_family_incertae_sedis","Gp10"
"Otu13819","2","OD1","OD1_class_incertae_sedis","OD1_order_incertae_sedis","OD1_family_incertae_sedis","OD1_genus_incertae_sedis"
"Otu13839","2","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13846","2","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
